dataset,paper_name,paper_group,kernel,variant,grid_index,status,error,kernel_params,validation_metric,validation_score,support_vectors,support_fraction,selection_utility,fit_seconds
fruitfly,fruitfly,experiment_2,rbf,robust_hybrid,1,ok,,"{""C"": 1.0, ""gamma"": 0.01}",accuracy,0.55,8,0.1,0.55,0.2637340999935986
fruitfly,fruitfly,experiment_2,rbf,robust_hybrid,2,ok,,"{""C"": 1.0, ""gamma"": 0.1}",accuracy,0.65,15,0.1875,0.65,0.2463567000086186
fruitfly,fruitfly,experiment_2,rbf,robust_hybrid,3,ok,,"{""C"": 10.0, ""gamma"": 0.01}",accuracy,0.55,22,0.275,0.55,0.1981021999963559
fruitfly,fruitfly,experiment_2,rbf,robust_hybrid,4,ok,,"{""C"": 10.0, ""gamma"": 0.1}",accuracy,0.4,21,0.2625,0.4,0.1152494999987538
fruitfly,fruitfly,experiment_2,rbf,user_formula_1,1,ok,,"{""C"": 1.0, ""gamma"": 0.01}",accuracy,0.6,6,0.075,0.6,0.2082816999900387
fruitfly,fruitfly,experiment_2,rbf,user_formula_1,2,ok,,"{""C"": 1.0, ""gamma"": 0.1}",accuracy,0.6,12,0.15,0.6,0.1906286000012187
fruitfly,fruitfly,experiment_2,rbf,user_formula_1,3,ok,,"{""C"": 10.0, ""gamma"": 0.01}",accuracy,0.45,20,0.25,0.45,0.2125686000072164
fruitfly,fruitfly,experiment_2,rbf,user_formula_1,4,ok,,"{""C"": 10.0, ""gamma"": 0.1}",accuracy,0.55,19,0.2375,0.55,0.1855661000008694
fruitfly,fruitfly,experiment_2,rbf,user_formula_2,1,ok,,"{""C"": 1.0, ""gamma"": 0.01}",accuracy,0.7,6,0.075,0.7,0.2568836999998893
fruitfly,fruitfly,experiment_2,rbf,user_formula_2,2,ok,,"{""C"": 1.0, ""gamma"": 0.1}",accuracy,0.6,18,0.225,0.6,0.22458419999748
fruitfly,fruitfly,experiment_2,rbf,user_formula_2,3,ok,,"{""C"": 10.0, ""gamma"": 0.01}",accuracy,0.6,7,0.0875,0.6,0.2209902000031434
fruitfly,fruitfly,experiment_2,rbf,user_formula_2,4,ok,,"{""C"": 10.0, ""gamma"": 0.1}",accuracy,0.5,20,0.25,0.5,0.1151747999974759
