dataset,paper_name,paper_group,kernel,variant,grid_index,status,error,kernel_params,validation_metric,validation_score,support_vectors,support_fraction,selection_utility,fit_seconds
cloud,cloud,experiment_2,poly,author_original,34,ok,,"{""C"": 10.0, ""coef0"": 0.0, ""degree"": 5}",accuracy,0.7222222222222222,15,0.2205882352941176,0.7222222222222222,0.0922340000106487
cloud,cloud,experiment_2,poly,author_original,35,ok,,"{""C"": 10.0, ""coef0"": 0.5, ""degree"": 5}",accuracy,0.6666666666666666,38,0.5588235294117647,0.6666666666666666,0.0784798999957274
cloud,cloud,experiment_2,poly,author_original,36,ok,,"{""C"": 10.0, ""coef0"": 1.0, ""degree"": 5}",accuracy,0.7222222222222222,42,0.6176470588235294,0.7222222222222222,0.0587708999955793
cloud,cloud,experiment_2,poly,author_original,37,ok,,"{""C"": 100.0, ""coef0"": 0.0, ""degree"": 2}",accuracy,0.7222222222222222,27,0.3970588235294117,0.7222222222222222,0.0874261999997543
cloud,cloud,experiment_2,poly,author_original,38,ok,,"{""C"": 100.0, ""coef0"": 0.5, ""degree"": 2}",accuracy,0.7222222222222222,23,0.3382352941176471,0.7222222222222222,0.0423394999961601
cloud,cloud,experiment_2,poly,author_original,39,ok,,"{""C"": 100.0, ""coef0"": 1.0, ""degree"": 2}",accuracy,0.7777777777777778,24,0.3529411764705882,0.7777777777777778,0.0612144999904558
cloud,cloud,experiment_2,poly,author_original,40,ok,,"{""C"": 100.0, ""coef0"": 0.0, ""degree"": 3}",accuracy,0.6666666666666666,35,0.5147058823529411,0.6666666666666666,0.086588499994832
cloud,cloud,experiment_2,poly,author_original,41,ok,,"{""C"": 100.0, ""coef0"": 0.5, ""degree"": 3}",accuracy,0.7777777777777778,35,0.5147058823529411,0.7777777777777778,0.0518148999981349
cloud,cloud,experiment_2,poly,author_original,42,ok,,"{""C"": 100.0, ""coef0"": 1.0, ""degree"": 3}",accuracy,0.6666666666666666,32,0.4705882352941176,0.6666666666666666,0.0421155999938491
cloud,cloud,experiment_2,poly,author_original,43,ok,,"{""C"": 100.0, ""coef0"": 0.0, ""degree"": 4}",accuracy,0.8333333333333334,26,0.3823529411764705,0.8333333333333334,0.075006500002928
